id,host_id,host_since,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,area,region,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,scores_rating,scores_accuracy,scores_cleanliness,scores_checkin,scores_communication,scores_location,scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,total_price
56334,266763,7,,0,2,2,Woodlands,North Region,1.44246,103.79667,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pets live on this property,Cat(s),Elevator,Washer,Dryer",69.0,257.0,39.0,1,14.0,6,14,6,6,14,14,6.0,14.0,1,30,60,90,365,20,0,2,57,98.0,10.0,10.0,10.0,10.0,8.0,9.0,0,flexible,2,0,2,0,0.21,69.0
71896,367042,13,100.0,0,9,9,Tampines,East Region,1.34567,103.95963,House,Private room,3,0.5,1.0,1.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Kitchen,Pets allowed,Pets live on this property,Dog(s),Free street parking,Hot tub,Washer,Dryer,Smoke detector,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Self check-in,Keypad,Private entrance,Hot water,Paid parking on premises",94.0,138.0,28.0,1,21.0,1,1125,1,1,1125,1125,1.0,1125.0,1,30,60,86,361,20,0,4,391,80.0,8.0,8.0,9.0,9.0,8.0,8.0,1,moderate,9,0,9,0,0.21,136.0
71903,367042,13,100.0,0,9,9,Tampines,East Region,1.34702,103.96103,House,Private room,3,0.5,1.0,2.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Kitchen,Pets live on this property,Dog(s),Free street parking,Hot tub,Heating,Washer,Smoke detector,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Self check-in,Keypad,Hot water",103.0,138.0,28.0,1,21.0,1,1125,1,1,1125,1125,1.0,1125.0,1,27,57,83,346,33,6,0,932,87.0,9.0,9.0,9.0,9.0,9.0,9.0,0,moderate,9,0,9,0,0.34,145.0
71907,367042,13,100.0,0,9,9,Tampines,East Region,1.34348,103.96337,House,Private room,6,1.0,1.0,7.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Kitchen,Pets live on this property,Free street parking,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Self check-in,Keypad,Private entrance,Hot water",207.0,276.0,69.0,4,34.0,1,365,1,1,365,365,1.0,365.0,1,29,59,89,180,23,3,1,820,80.0,9.0,8.0,9.0,9.0,8.0,8.0,1,strict_14_with_grace_period,9,0,9,0,0.24,275.0
151547,729617,28,,0,2,2,Orchard,Central Region,1.30175,103.83609,Apartment,Private room,9,1.0,1.0,1.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Pool,Doorman,Gym,Elevator,Buzzer/wireless intercom,Washer,Dryer,Essentials,Shampoo",120.0,1000.0,50.0,9,120.0,7,1000,7,7,1000,1000,7.0,1000.0,1,30,60,90,365,15,0,3,23,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1,0,1,0,0.16,120.0
289234,367042,13,100.0,0,9,9,Tampines,East Region,1.34561,103.95984,House,Private room,8,2.0,3.0,1.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Pets live on this property,Free street parking,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Keypad,Private entrance,Children’s books and toys,Hot water,Luggage dropoff allowed,Long term stays allowed,Paid parking on premises",414.0,276.0,83.0,6,21.0,2,365,2,2,365,365,2.0,365.0,1,0,0,0,142,12,3,13,815,97.0,9.0,10.0,9.0,9.0,9.0,9.0,1,moderate,9,0,9,0,0.14,456.0
294281,1521514,65,65.0,0,6,6,Newton,Central Region,1.31125,103.83816,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"Internet,Wifi,Air conditioning,Kitchen,Pets live on this property,Dog(s),Free street parking,Buzzer/wireless intercom,Washer,Smoke detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Long term stays allowed",65.0,149.0,30.0,1,15.0,2,720,2,2,720,720,2.0,720.0,1,17,47,77,352,122,11,9,939,88.0,9.0,9.0,9.0,10.0,9.0,9.0,0,moderate,6,0,6,0,1.37,80.0
301247,1552002,69,87.0,0,1,1,Geylang,Central Region,1.31724,103.88958,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"Cable TV,Internet,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Elevator,Washer,Lock on bedroom door,Hair dryer,Laptop friendly workspace,Hot water,Microwave,Refrigerator",40.0,150.0,0.0,1,0.0,1,1125,1,1,1125,1125,1.0,1125.0,1,4,15,26,27,91,43,50,929,90.0,10.0,9.0,10.0,9.0,10.0,9.0,0,moderate,1,0,1,0,1.34,40.0
320422,951965,38,100.0,0,3,3,Bedok,East Region,1.32224,103.94048,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"TV,Cable TV,Internet,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Elevator,Heating,Family/kid friendly,Washer,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Hot water",101.0,0.0,45.0,1,30.0,1,14,1,1,14,14,1.0,14.0,1,30,60,90,365,2,0,181,490,100.0,8.0,10.0,10.0,10.0,10.0,10.0,1,moderate,3,0,3,0,0.04,161.0
344803,367042,13,100.0,0,9,9,Tampines,East Region,1.34943,103.95951,House,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Pets live on this property,Dog(s),Free street parking,Washer,Dryer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Self check-in,Keypad,Children’s books and toys,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Cooking basics,Oven,Stove,Garden or backyard",48.0,138.0,28.0,1,14.0,2,365,2,2,365,365,2.0,365.0,1,27,57,87,358,40,15,10,923,90.0,9.0,9.0,9.0,9.0,9.0,9.0,1,moderate,9,0,9,0,0.46,48.0
